Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,8.682739522,0,0
200,8.682743132,0,0
300,0.02230901101,0,0
301,0.0895317114,0,0
302,0.02807649465,0,0
303,11.29120583,0,0
400,0.1412003875,0,0
401,0.3898324431,0,0
402,0.09782525444,0,0
403,0.04897425007,0,0
404,0.09805441234,0,0
405,28.8084848,0,0
500,0.08596550428,0,0
501,0.02351556738,0,0
600,0.02307768472,0,0
700,10.36360878,0,0
800,0.02516398227,0,0
801,0.0311633586,0,0
802,0.05201120782,0,0
803,0.130411126,0,0
804,0.02615675687,0,0
805,0.05236504327,0,0
806,0.05246035062,0,0
807,0.05255009106,0,0
808,2.776674508,0,0
900,1.504030783,0,0
910,6.943591123,0,0
1000,193.1967825,0,0
1010,444.0353949,0,0
1100,32.46345325,0,0
1110,167.2694021,0,0
1200,108.8315671,0,0
1210,389.7405461,0,0
1300,159.1964517,0,0
1400,145.6886557,0,0
1500,34.24398254,0,0
1600,106.7201246,0,0
1700,50.88978932,0,0
1800,37.39695522,0,0
1900,273.4089197,0,0
2000,154.9809855,0,0
2100,22.99634576,0,0
2200,181.5289885,0,0
2300,118.9268866,0,0
2400,48.25181227,0,0
2500,45.05701336,0,0
2600,568.4694168,5.780200561e-15,0.1695537904
2700,382.0729263,1.341972485e-15,0.4258145232
2800,253.5475846,0,0
2900,413.2322922,0,0
3000,26.04535047,0,0
3100,307.7609735,0,0
3200,373.6519545,0,0
3300,82.17888246,0,0
3400,536.6511904,0,0
3500,621.4076463,0,0
3600,79.81493797,0,0
3700,234.8823428,0,0
3800,432.6150424,0,0
3900,76.87705058,0,0
4000,56.28731655,0,0
4100,402.5946743,0,0
4200,619.6715755,0,0
4300,368.7971196,0,0
4400,457.3511943,0,0
4500,223.3331223,0,0
4600,156.6702568,0,0
4700,103.9434066,3.118229425e-17,0.9994998749
4800,78.91527128,0,0
4900,289.4401291,0,0
5000,345.2217733,0,0
5100,188.0474514,0,0
5200,291.5843646,0,0
5300,110.3202883,0,0
5400,192.223999,0,0
5500,9.990523425,0,0
5600,61.42008372,0,0
5700,56.33146379,0,0
5800,82.06297946,0,0
6100,1517.389678,1.02681569e-13,0.004324812049
6200,7.769025257,0,0
6300,5.180134068,0,0
6400,7.769029193,0,0
6500,5.180136443,0,0
6600,0.03888948808,0,0
6601,0.1892705688,0,0
6700,1.113285069,0,0
6701,0.3075716047,0,0
6702,6.12199394,0,0
6800,0.03888931397,0,0
6801,0.1892706524,0,0
6900,1.113281696,0,0
6901,0.307571592,0,0
6902,6.12199522,0,0
7000,10.36361276,0,0
7100,57.99999933,0,0
7200,1.783738388,0,0
7201,1.192821131,0,0
7202,6.008017357,0,0
7203,185.2860985,0,0
7300,249.9999865,0,0
7400,14.54747904,0,0
7401,2.264442035,0,0
7402,5.691843593,0,0
7403,840.0963485,0,0
7500,53.33739729,0,0
7501,296.6626081,0,0
7600,3.071450222,0,0
7601,0.2233495664,0,0
7602,116.6341778,0,0
7700,55.00000064,0,0
7800,3.992697541,0,0
7801,0.2886113451,0,0
7802,75.67134897,0,0
7900,95.00000217,0,0
8000,2.823670214,0,0
8001,0.204972319,0,0
8002,76.9240245,0,0
8100,39.99999291,0,0
8200,2.77943439,0,0
8201,0.2033227536,0,0
8202,116.9462205,0,0
8300,35.00000918,0,0
8400,4.450942357,0,0
8401,0.3235627551,0,0
8402,48.52422396,0,0
8500,74.99999545,0,0
8600,39.97632662,0,0
8700,385.8388145,0,0
8800,510.0000095,0,0
8900,162.3384466,0,0
9000,38.35928192,0,0
9100,7.651796292,0,0
9200,166.5419457,0,0
9300,39.36213816,0,0
9400,7.892486789,0,0
9500,2360.000005,0,0
9700,545.8768934,0,0
9900,652.8614496,0,0
10000,15.949186,0,0
10100,15.94920545,0,0
10200,5.509725194,0,0
10300,130.2035224,0,0
10400,11.01945242,0,0
10500,11.01945355,0,0
10600,1200.827799,1.301885477e-17,0.6489646609
10700,14844.72969,0,0
10800,2843.506922,0,0
10900,10887.72913,0,0
11000,1.919393001,0,0
11001,0.1030714171,0,0
11002,49.78305164,0,0
11003,22.86999766,0,0
11300,173.6312956,0,0
11400,0.6218196488,0,0
11500,17.61814419,0,0
11600,975.6224151,3.073023807e-16,0.3217157107
11700,11176.90036,0,0
11800,1549.841515,0,0
11900,4510.133509,0,0
12000,44.04535869,1.244564624e-16,0.9994998749
12100,44.04536237,0,0
12200,259.2303086,1.807937968e-16,0.7696858569
12201,8.470001531,0,0
12300,1271.006475,0,0
12301,38.41782704,0,0
12400,575.7089401,0,0
12401,18.84302052,0,0
12500,1259.982016,0,0
12501,37.78988121,0,0
12600,37.95172332,0,0
12700,228.3999951,0,0
12800,50.72662088,0,0
12801,0.04313799171,0,0
12900,18.61675322,0,0
13000,18.61674984,0,0
13100,25.90902855,0,0
13200,23.35052429,0,0
13300,20.99303754,0,0
13301,54.55215826,0,0
13400,3.109094749,0,0
13500,8.809067047,0,0
13600,7.772708595,0,0
13700,49.78112324,0,0
13701,1.317737832,0,0
13800,200.000003,0,0
14000,0.1401650804,0,0
